Cypridina sp AUS	P.92467	Australian Museum	Australia	TOCC004G
Euphilomedes asciformis	P.92379-80	Australian Museum	Australia	TOCC004C
Harbansus slatteryi	P.92355-61	Australian Museum	Australia	TOCC003F
Vargula sp AUS	P.92349	Australian Museum	Australia	TOCC004F
Chelicopia lorica	P.92345-8	Australian Museum	Australia	TOCC003B
Alternochelata lizardensis	P.92342-4	Australian Museum	Australia	TOCC003A
Pterocypridina sp	P.92319	Australian Museum	Australia	TOCC004I
Paravargula sp	P.92316-7	Australian Museum	Australia	TOCC003G
Paradoloria sp	P.92314-5	Australian Museum	Australia	TOCC004H
Maristella BZ_SVU 	In possession of Gretchen Gerrish		Belize	Sample_TOCC001C_index3
Maristella BZ_SVU 	In possession of Gretchen Gerrish		Belize	B_SVU
Maristella BZ_VAD	In possession of Gretchen Gerrish		Belize	BZ-VAD2_S4
Maristella BZ_VAD	In possession of Gretchen Gerrish		Belize	BZ-VAD_S4
Maristella BZ_VAD	In possession of Gretchen Gerrish		Belize	BZVAD
Maristella RO_DU 	In possession of Gretchen Gerrish		Roatan, Honduras	R-DU_S60
Maristella RO_DU 	In possession of Gretchen Gerrish		Roatan, Honduras	R-DU_S3
Maristella RO_DU 	In possession of Gretchen Gerrish		Roatan, Honduras	R2016DU
Maristella RO_RD 	In possession of Gretchen Gerrish		Roatan, Honduras	R-RD2_S1
Maristella RO_RD 	In possession of Gretchen Gerrish		Roatan, Honduras	R-RD_S1
Maristella RO_RD 	In possession of Gretchen Gerrish		Roatan, Honduras	R-RD_S59
Photeros mcelroyi 	In possession of Gretchen Gerrish		Jamaica	J-MacElroyi_S2
Photeros mcelroyi 	In possession of Gretchen Gerrish		Jamaica	J-MacElroyi2_S2
Photeros mcelroyi 	In possession of Gretchen Gerrish		Jamaica	JMACELROY
Maristella JA_AU	In possession of Gretchen Gerrish		Jamaica	J-AU_S56_L007
Maristella JA_WLU	In possession of Gretchen Gerrish		Jamaica	J-WLU_S67_L008
Maristella JA_WTF	In possession of Gretchen Gerrish		Jamaica	J-WTF_S54_L007
Maristella PA_MFU	In possession of Gretchen Gerrish		Panama	PMMFU
Maristella RO_AG	In possession of Gretchen Gerrish		Roatan, Honduras	EETO030418-RO_AG
Photeros RO_WLU	In possession of Gretchen Gerrish		Roatan, Honduras	EETO030418-RO_WLU
Kornickeria marleyi	In possession of Gretchen Gerrish		Jamaica	Km_S4_L001
Maristella RO_IR	In possession of Gretchen Gerrish		Roatan, Honduras	R-IR_S66_L008
Photeros jamescasei	In possession of Gretchen Gerrish		Jamaica	J-Jamescasei2_S5
Photeros jamescasei	In possession of Gretchen Gerrish		Jamaica	J_Jamescasei-43938115
Photeros RO_GPH	In posession of Gretchen Gerrish		Roatan, Honduras	R_GPH
Photeros RO_GPH	In posession of Gretchen Gerrish		Roatan, Honduras	RO2015GPH
Maristella JA_LSZZ	In posession of Gretchen Gerrish		Jamaica	LSZZ_S3
Maristella JA_LSZZ	In posession of Gretchen Gerrish		Jamaica	JAM_LSZZ
Maristella JA_OBD	In posession of Gretchen Gerrish		Jamaica	J-OBD_S52
Maristella JA_OBD	In posession of Gretchen Gerrish		Jamaica	J_OBD
Maristella JA_SVD	In posession of Gretchen Gerrish		Jamaica	J_SVD
Maristella JA_SVD	In posession of Gretchen Gerrish		Jamaica	J-SVD_S53
Maristella JA_VAD	In posession of Gretchen Gerrish		Jamaica	J-VAD_S55
Maristella JA_VAD	In posession of Gretchen Gerrish		Jamaica	J_VAD-43931095
Photeros morini	In posession of Gretchen Gerrish		Belize	B_Pmorin
Photeros morini	In posession of Gretchen Gerrish		Belize	Sample_TOCC001B_index2
Kornickeria RO_CMU	In posession of Gretchen Gerrish		Roatan, Honduras	R-CMU_S63_L008
Kornickeria RO_CMU	In posession of Gretchen Gerrish		Roatan, Honduras	R-CMU_S5
Maristella RO_ODH	In posession of Gretchen Gerrish		Roatan, Honduras	R_ODH
Maristella RO_ODH	In posession of Gretchen Gerrish		Roatan, Honduras	R-OHD_S65_L008
Maristella JA_SVD	In posession of Gretchen Gerrish		Jamaica	J_SVD
Maristella JA_SVD	In posession of Gretchen Gerrish		Jamaica	J-SVD_S53
Photeros annecohenae	In posession of Gretchen Gerrish		Belize	Gruber_Pannecohenae
Kornickeria hastingsii carriebowae	In posession of Gretchen Gerrish		Belize	Korn_hast_c  
Jimmorinia gunnari	In posession of Gretchen Gerrish		Jamaica	J_JimGun-43942958
Jimmorinia gunnari	In posession of Gretchen Gerrish		Jamaica	JAM_JIMMOR
Paravargula maculosa	Deposit in Progress	Santa Barbara Museum of Natural History	Japan	3_S8_L001
Paravargula maculosa	Deposit in Progress	Santa Barbara Museum of Natural History	Japan	3-2_S9_L001
Gigantocypris sp	No voucher		California, USA	L4_Gigantocypris_MBARI
Melavargula japonica	Deposit in Progress	Santa Barbara Museum of Natural History	Japan	Jp_Melavar22
Skogsbergia sp_Panama	Deposit in Progress	Santa Barbara Museum of Natural History	Panama	PSKOG
Vargula hilgendorfii	Deposit in Progress	Santa Barbara Museum of Natural History	Japan	TOCC003H
Vargula tsujii	Deposit in Progress	Santa Barbara Museum of Natural History	California, USA	TOCC003I
Kornickeria sp_CU	Deposit in Progress	Santa Barbara Museum of Natural History	Curacao	CURA
Cypridinodes sp_Japan	Deposit in Progress	Santa Barbara Museum of Natural History	Japan	jpcyp2b 
