filename,otus,sequences,meanSeqLen,shortestSeq,longestSeq,pctMissingData,alignmentLen
OG0009286.aln_pruned.fa,21,21,147,104,170,0.38095238095238093,238
OG0002629.aln_pruned.fa,20,20,287,121,782,0.6360303413400759,791
OG0007564.aln_pruned.fa,27,27,197,105,220,0.13580246913580246,228
OG0006210.aln_pruned.fa,25,25,164,107,205,0.34384,250
OG0002178.aln_pruned.fa,23,23,568,108,864,0.46941920830629463,1072
OG0002278.aln_pruned.fa,27,27,580,107,1376,0.5991451022549847,1447
OG0008506.aln_pruned.fa,20,20,186,107,321,0.4908469945355191,366
OG0009386.aln_pruned.fa,22,22,149,107,183,0.3938167096061833,247
OG0006153.aln_pruned.fa,23,23,374,105,739,0.553336100446197,838
OG0006602.aln_pruned.fa,24,24,192,115,214,0.28171641791044777,268
OG0002729.aln_pruned.fa,37,37,352,139,402,0.1831065404151251,431
OG0002279.aln_pruned.fa,20,20,312,107,588,0.5624123422159888,713
OG0009669.aln_pruned.fa,25,25,164,101,314,0.605947242206235,417
OG0004428.aln_pruned.fa,29,29,189,111,216,0.17361843095919288,229
OG0004379.aln_pruned.fa,35,35,127,109,167,0.324468085106383,188
OG0007886.aln_pruned.fa,22,22,194,102,273,0.48560805948668745,379
OG0005777.aln_pruned.fa,29,29,294,130,373,0.24200142196942764,388
OG0005981.aln_pruned.fa,26,26,352,100,504,0.3502696565427193,542
OG0007670.aln_pruned.fa,24,24,279,101,587,0.5907041910331384,684
OG0006828.aln_pruned.fa,21,21,141,101,170,0.20231369383911757,177
OG0003618.aln_pruned.fa,22,22,308,108,424,0.3346394984326019,464
OG0001765.aln_pruned.fa,24,24,295,133,399,0.3678774928774929,468
OG0007671.aln_pruned.fa,20,20,170,105,222,0.3106854838709677,248
OG0004528.aln_pruned.fa,32,32,282,116,384,0.5596281152647975,642
OG0009668.aln_pruned.fa,22,22,272,113,376,0.30777238029146425,393
OG0006817.aln_pruned.fa,23,23,193,111,209,0.579552956710365,461
OG0004279.aln_pruned.fa,37,37,246,102,291,0.19843296064794436,307
OG0008830.aln_pruned.fa,22,22,653,196,960,0.3475322083106514,1002
OG0003619.aln_pruned.fa,33,33,260,150,308,0.19485880476592551,323
OG0006829.aln_pruned.fa,29,29,165,108,263,0.5338008961620885,354
OG0003432.aln_pruned.fa,28,28,238,128,277,0.29646017699115046,339
OG0003363.aln_pruned.fa,26,26,297,124,369,0.22827172827172826,385
OG0002105.aln_pruned.fa,33,33,348,118,416,0.3148181222837411,509
OG0007519.aln_pruned.fa,20,20,185,103,341,0.49591280653950953,367
OG0006299.aln_pruned.fa,20,20,180,111,221,0.344,275
OG0007348.aln_pruned.fa,20,20,226,100,299,0.2514851485148515,303
OG0003785.aln_pruned.fa,40,40,292,109,431,0.3430337078651685,445
OG0005633.aln_pruned.fa,29,29,146,108,269,0.6204209583519928,385
OG0001718.aln_pruned.fa,32,32,300,125,460,0.42334452975047987,521
OG0003782.aln_pruned.fa,41,41,320,115,364,0.5031196823596142,645
OG0004643.aln_pruned.fa,29,29,385,105,773,0.5737092779577062,905
OG0006522.aln_pruned.fa,20,20,195,106,321,0.47405913978494624,372
OG0009904.aln_pruned.fa,21,21,228,112,251,0.1730503795721187,276
OG0001618.aln_pruned.fa,32,32,280,124,384,0.4612379807692308,520
OG0004555.aln_pruned.fa,25,25,207,124,242,0.2465217391304348,276
OG0005062.aln_pruned.fa,36,36,308,100,414,0.3031674208144796,442
OG0005733.aln_pruned.fa,33,33,178,102,201,0.20525252525252524,225
OG0004204.aln_pruned.fa,37,37,272,115,369,0.29708778545987846,387
OG0003975.aln_pruned.fa,20,20,318,101,705,0.6514770240700218,914
OG0004424.aln_pruned.fa,22,22,219,104,584,0.630547903275176,594
OG0004642.aln_pruned.fa,25,25,204,105,270,0.6195158286778398,537
OG0002370.aln_pruned.fa,40,40,561,102,700,0.28966498103666244,791
OG0004436.aln_pruned.fa,33,33,239,104,294,0.4084158415841584,404
OG0006318.aln_pruned.fa,29,29,151,128,169,0.29374798582017403,214
OG0002371.aln_pruned.fa,32,32,359,106,439,0.3225047080979284,531
OG0004781.aln_pruned.fa,38,38,308,100,372,0.35150375939849626,476
OG0004078.aln_pruned.fa,28,28,252,106,319,0.3257257448433919,374
OG0004536.aln_pruned.fa,26,26,302,158,350,0.2174517988471477,387
OG0006319.aln_pruned.fa,22,22,129,114,142,0.1786536248561565,158
OG0007778.aln_pruned.fa,25,25,202,132,218,0.1392340425531915,235
OG0003451.aln_pruned.fa,22,22,288,104,429,0.48921962992759455,565
